name	component	type	tracked_point	units	sampling_frequency
l_th3_pos_z	z	POS	l_th3	mm	200
l_th3_pos_err	n/a	POS	l_th3	mm	200
l_th4_pos_x	x	POS	l_th4	mm	200
l_th4_pos_y	y	POS	l_th4	mm	200
l_th4_pos_z	z	POS	l_th4	mm	200
l_th4_pos_err	n/a	POS	l_th4	mm	200
r_toe_pos_x	x	POS	r_toe	mm	200
r_toe_pos_y	y	POS	r_toe	mm	200
r_toe_pos_z	z	POS	r_toe	mm	200
r_toe_pos_err	n/a	POS	r_toe	mm	200
r_heel_pos_x	x	POS	r_heel	mm	200
r_heel_pos_y	y	POS	r_heel	mm	200
r_heel_pos_z	z	POS	r_heel	mm	200
r_heel_pos_err	n/a	POS	r_heel	mm	200
r_ank_pos_x	x	POS	r_ank	mm	200
r_ank_pos_y	y	POS	r_ank	mm	200
r_ank_pos_z	z	POS	r_ank	mm	200
r_ank_pos_err	n/a	POS	r_ank	mm	200
r_sk1_pos_x	x	POS	r_sk1	mm	200
r_sk1_pos_y	y	POS	r_sk1	mm	200
r_sk1_pos_z	z	POS	r_sk1	mm	200
r_sk1_pos_err	n/a	POS	r_sk1	mm	200
r_sk2_pos_x	x	POS	r_sk2	mm	200
r_sk2_pos_y	y	POS	r_sk2	mm	200
r_sk2_pos_z	z	POS	r_sk2	mm	200
r_sk2_pos_err	n/a	POS	r_sk2	mm	200
r_sk3_pos_x	x	POS	r_sk3	mm	200
r_sk3_pos_y	y	POS	r_sk3	mm	200
r_sk3_pos_z	z	POS	r_sk3	mm	200
r_sk3_pos_err	n/a	POS	r_sk3	mm	200
r_sk4_pos_x	x	POS	r_sk4	mm	200
r_sk4_pos_y	y	POS	r_sk4	mm	200
r_sk4_pos_z	z	POS	r_sk4	mm	200
r_sk4_pos_err	n/a	POS	r_sk4	mm	200
r_th1_pos_x	x	POS	r_th1	mm	200
r_th1_pos_y	y	POS	r_th1	mm	200
r_th1_pos_z	z	POS	r_th1	mm	200
r_th1_pos_err	n/a	POS	r_th1	mm	200
r_th2_pos_x	x	POS	r_th2	mm	200
r_th2_pos_y	y	POS	r_th2	mm	200
r_th2_pos_z	z	POS	r_th2	mm	200
r_th2_pos_err	n/a	POS	r_th2	mm	200
r_th3_pos_x	x	POS	r_th3	mm	200
r_th3_pos_y	y	POS	r_th3	mm	200
r_th3_pos_z	z	POS	r_th3	mm	200
r_th3_pos_err	n/a	POS	r_th3	mm	200
r_th4_pos_x	x	POS	r_th4	mm	200
r_th4_pos_y	y	POS	r_th4	mm	200
r_th4_pos_z	z	POS	r_th4	mm	200
r_th4_pos_err	n/a	POS	r_th4	mm	200
l_asis_pos_x	x	POS	l_asis	mm	200
l_asis_pos_y	y	POS	l_asis	mm	200
l_asis_pos_z	z	POS	l_asis	mm	200
l_asis_pos_err	n/a	POS	l_asis	mm	200
r_asis_pos_x	x	POS	r_asis	mm	200
r_asis_pos_y	y	POS	r_asis	mm	200
r_asis_pos_z	z	POS	r_asis	mm	200
r_asis_pos_err	n/a	POS	r_asis	mm	200
l_psis_pos_x	x	POS	l_psis	mm	200
l_psis_pos_y	y	POS	l_psis	mm	200
l_psis_pos_z	z	POS	l_psis	mm	200
l_psis_pos_err	n/a	POS	l_psis	mm	200
r_psis_pos_x	x	POS	r_psis	mm	200
r_psis_pos_y	y	POS	r_psis	mm	200
r_psis_pos_z	z	POS	r_psis	mm	200
r_psis_pos_err	n/a	POS	r_psis	mm	200
m_ster1_pos_x	x	POS	m_ster1	mm	200
m_ster1_pos_y	y	POS	m_ster1	mm	200
m_ster1_pos_z	z	POS	m_ster1	mm	200
m_ster1_pos_err	n/a	POS	m_ster1	mm	200
m_ster2_pos_x	x	POS	m_ster2	mm	200
m_ster2_pos_y	y	POS	m_ster2	mm	200
m_ster2_pos_z	z	POS	m_ster2	mm	200
m_ster2_pos_err	n/a	POS	m_ster2	mm	200
m_ster3_pos_x	x	POS	m_ster3	mm	200
m_ster3_pos_y	y	POS	m_ster3	mm	200
m_ster3_pos_z	z	POS	m_ster3	mm	200
m_ster3_pos_err	n/a	POS	m_ster3	mm	200
l_sho_pos_x	x	POS	l_sho	mm	200
l_sho_pos_y	y	POS	l_sho	mm	200
l_sho_pos_z	z	POS	l_sho	mm	200
l_sho_pos_err	n/a	POS	l_sho	mm	200
l_ua_pos_x	x	POS	l_ua	mm	200
l_ua_pos_y	y	POS	l_ua	mm	200
l_ua_pos_z	z	POS	l_ua	mm	200
l_ua_pos_err	n/a	POS	l_ua	mm	200
l_elbl_pos_x	x	POS	l_elbl	mm	200
l_elbl_pos_y	y	POS	l_elbl	mm	200
l_elbl_pos_z	z	POS	l_elbl	mm	200
l_elbl_pos_err	n/a	POS	l_elbl	mm	200
l_frm_pos_x	x	POS	l_frm	mm	200
l_frm_pos_y	y	POS	l_frm	mm	200
l_frm_pos_z	z	POS	l_frm	mm	200
l_frm_pos_err	n/a	POS	l_frm	mm	200
l_wrr_pos_x	x	POS	l_wrr	mm	200
l_wrr_pos_y	y	POS	l_wrr	mm	200
l_wrr_pos_z	z	POS	l_wrr	mm	200
l_wrr_pos_err	n/a	POS	l_wrr	mm	200
l_wru_pos_x	x	POS	l_wru	mm	200
l_wru_pos_y	y	POS	l_wru	mm	200
l_wru_pos_z	z	POS	l_wru	mm	200
l_wru_pos_err	n/a	POS	l_wru	mm	200
l_hand_pos_x	x	POS	l_hand	mm	200
l_hand_pos_y	y	POS	l_hand	mm	200
l_hand_pos_z	z	POS	l_hand	mm	200
l_hand_pos_err	n/a	POS	l_hand	mm	200
r_sho_pos_x	x	POS	r_sho	mm	200
r_sho_pos_y	y	POS	r_sho	mm	200
r_sho_pos_z	z	POS	r_sho	mm	200
r_sho_pos_err	n/a	POS	r_sho	mm	200
r_ua_pos_x	x	POS	r_ua	mm	200
r_ua_pos_y	y	POS	r_ua	mm	200
r_ua_pos_z	z	POS	r_ua	mm	200
r_ua_pos_err	n/a	POS	r_ua	mm	200
r_elbl_pos_x	x	POS	r_elbl	mm	200
r_elbl_pos_y	y	POS	r_elbl	mm	200
r_elbl_pos_z	z	POS	r_elbl	mm	200
r_elbl_pos_err	n/a	POS	r_elbl	mm	200
r_frm_pos_x	x	POS	r_frm	mm	200
r_frm_pos_y	y	POS	r_frm	mm	200
r_frm_pos_z	z	POS	r_frm	mm	200
r_frm_pos_err	n/a	POS	r_frm	mm	200
r_wrr_pos_x	x	POS	r_wrr	mm	200
r_wrr_pos_y	y	POS	r_wrr	mm	200
r_wrr_pos_z	z	POS	r_wrr	mm	200
r_wrr_pos_err	n/a	POS	r_wrr	mm	200
r_wru_pos_x	x	POS	r_wru	mm	200
r_wru_pos_y	y	POS	r_wru	mm	200
r_wru_pos_z	z	POS	r_wru	mm	200
r_wru_pos_err	n/a	POS	r_wru	mm	200
r_hand_pos_x	x	POS	r_hand	mm	200
r_hand_pos_y	y	POS	r_hand	mm	200
r_hand_pos_z	z	POS	r_hand	mm	200
r_hand_pos_err	n/a	POS	r_hand	mm	200
lf_hd_pos_x	x	POS	lf_hd	mm	200
lf_hd_pos_y	y	POS	lf_hd	mm	200
lf_hd_pos_z	z	POS	lf_hd	mm	200
lf_hd_pos_err	n/a	POS	lf_hd	mm	200
rf_hd_pos_x	x	POS	rf_hd	mm	200
rf_hd_pos_y	y	POS	rf_hd	mm	200
rf_hd_pos_z	z	POS	rf_hd	mm	200
rf_hd_pos_err	n/a	POS	rf_hd	mm	200
lb_hd_pos_x	x	POS	lb_hd	mm	200
lb_hd_pos_y	y	POS	lb_hd	mm	200
lb_hd_pos_z	z	POS	lb_hd	mm	200
lb_hd_pos_err	n/a	POS	lb_hd	mm	200
rb_hd_pos_x	x	POS	rb_hd	mm	200
rb_hd_pos_y	y	POS	rb_hd	mm	200
rb_hd_pos_z	z	POS	rb_hd	mm	200
rb_hd_pos_err	n/a	POS	rb_hd	mm	200
